
🌺2026年3月13整理🌺,#genre#
NewTV军旅剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_700_1080P_t10/c54_fast_700_1080P_t10.m3u8?d
NewTV家庭剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_999_1080P_t10/c59_fast_999_1080P_t10.m3u8?d
NewTV泰语剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_949_1080P_t10/c58_fast_949_1080P_t10.m3u8?d
NewTV大家剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_975_1080P_t10/c58_fast_975_1080P_t10.m3u8?d
NewTV爱情剧场,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_967_1080P_t10/c59_fast_967_1080P_t10.m3u8?d




🌺兵哥教程🌺如何开启IPV6,https://vdse.bdstatic.com//eaa8bb257e15512b1fd3da64cf62d640.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-04-29T19%3A02%3A30Z%2F-1%2Fhost%2F7b845449f3788d4fa9534408e846301955099694d7e76381e480fe44831e3b00
🌺防失联🌺,https://vd2.bdstatic.com/mda-kfhr50vjwtmttwxc/v1-cae/sc/mda-kfhr50vjwtmttwxc.mp4
🌺获取最新源址🌺,https://vd3.bdstatic.com/mda-khb9j4g6c25biyqj/v1-cae/1080p/mda-khb9j4g6c25biyqj.mp4



🌺央视频道🌺兵哥整理,#genre#


//3.13

CCTV-1HD,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2HD,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3HD,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4HD,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5HD,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-6HD,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7HD,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8HD,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9HD,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10HD,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11HD,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12HD,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13HD,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14HD,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15HD,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-5+HD,http://107.150.60.122/live/cctv5p.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8



//2.18


CCTV1,http://www.alphauncle.com:2715/rtp/239.0.0.10:5140
CCTV2,http://www.alphauncle.com:2715/rtp/239.0.0.11:5140
CCTV3,http://www.alphauncle.com:2715/rtp/239.0.0.12:5140
CCTV4,http://www.alphauncle.com:2715/rtp/239.0.0.13:5140
CCTV4K,http://www.alphauncle.com:2715/rtp/239.0.0.184:5140
CCTV5,http://www.alphauncle.com:2715/rtp/239.0.0.14:5140
CCTV5+,http://www.alphauncle.com:2715/rtp/239.0.0.22:5140
CCTV6,http://www.alphauncle.com:2715/rtp/239.0.0.15:5140
CCTV7,http://www.alphauncle.com:2715/rtp/239.0.0.16:5140
CCTV8,http://www.alphauncle.com:2715/rtp/239.0.0.17:5140
CCTV9,http://www.alphauncle.com:2715/rtp/239.0.0.18:5140
CCTV10,http://www.alphauncle.com:2715/rtp/239.0.0.19:5140
CCTV11,http://www.alphauncle.com:2715/rtp/239.0.0.187:5140
CCTV12,http://www.alphauncle.com:2715/rtp/239.0.0.20:5140
CCTV13,http://www.alphauncle.com:2715/rtp/239.0.0.190:5140
CCTV14,http://www.alphauncle.com:2715/rtp/239.0.0.21:5140
CCTV15,http://www.alphauncle.com:2715/rtp/239.0.0.188:5140
CCTV17,http://www.alphauncle.com:2715/rtp/239.0.0.152:5140


//2.19

CCTV1,http://888609.xyz:45213/udp/239.0.1.3:8008
CCTV1,http://888609.xyz:45213/udp/239.0.1.65:8080
CCTV2,http://888609.xyz:45213/udp/239.0.1.66:8004
CCTV2,http://888609.xyz:45213/udp/239.0.1.4:8084
CCTV3,http://888609.xyz:45213/udp/239.0.1.103:5052
CCTV3,http://888609.xyz:45213/udp/239.0.1.177:6037
CCTV4,http://888609.xyz:45213/udp/239.0.1.67:8216
CCTV4,http://888609.xyz:45213/udp/239.0.1.180:6040
CCTV5,http://888609.xyz:45213/udp/239.0.1.104:5053
CCTV5,http://888609.xyz:45213/udp/239.0.1.175:6035
CCTV6,http://888609.xyz:45213/udp/239.0.1.105:5054
CCTV6,http://888609.xyz:45213/udp/239.0.1.176:6036
CCTV7,http://888609.xyz:45213/udp/239.0.1.68:8024
CCTV7,http://888609.xyz:45213/udp/239.0.1.96:8104
CCTV8,http://888609.xyz:45213/udp/239.0.1.106:5055
CCTV8,http://888609.xyz:45213/udp/239.0.1.174:6034
CCTV9,http://888609.xyz:45213/udp/239.0.1.69:8032
CCTV9,http://888609.xyz:45213/udp/239.0.1.97:8112
CCTV10,http://888609.xyz:45213/udp/239.0.1.70:8228
CCTV10,http://888609.xyz:45213/udp/239.0.1.98:8116
CCTV11,http://888609.xyz:45213/udp/239.0.1.71:5400
CCTV12,http://888609.xyz:45213/udp/239.0.1.72:8232
CCTV12,http://888609.xyz:45213/udp/239.0.1.99:8124
CCTV13,http://888609.xyz:45213/udp/239.0.1.73:8264
CCTV14,http://888609.xyz:45213/udp/239.0.1.74:8236
CCTV14,http://888609.xyz:45213/udp/239.0.1.100:8132
CCTV15,http://888609.xyz:45213/udp/239.0.1.75:8052
CCTV17,http://888609.xyz:45213/udp/239.0.1.192:9264
CCTV5+,http://888609.xyz:45213/udp/239.0.1.101:8004
CGTN,http://888609.xyz:45213/udp/239.0.1.76:8056
CETV,http://888609.xyz:45213/udp/239.0.1.240:4120
CETV2,http://888609.xyz:45213/udp/239.0.1.210:4120
CETV4,http://888609.xyz:45213/udp/239.0.1.211:4121
IPTV5+,http://888609.xyz:45213/udp/239.0.1.102:4120
IPTV5+,http://888609.xyz:45213/udp/238.123.45.102:9008


//2.17

CCTV1,http://119.32.12.127:2905/udp/224.1.100.90:11111
CCTV1,http://119.32.12.127:2905/udp/225.1.101.138:11111
CCTV2,http://119.32.12.127:2905/udp/224.1.100.94:11111
CCTV2,http://119.32.12.127:2905/udp/225.1.101.26:7523
CCTV3,http://119.32.12.127:2905/udp/224.1.100.64:11111
CCTV3,http://119.32.12.127:2905/udp/225.1.101.121:7523
CCTV4,http://119.32.12.127:2905/udp/224.1.100.104:11111
CCTV4,http://119.32.12.127:2905/udp/225.1.101.52:7523
CCTV5+,http://119.32.12.127:2905/udp/224.1.100.25:11111
CCTV5+,http://119.32.12.127:2905/udp/225.1.101.124:7523
CCTV5,http://119.32.12.127:2905/udp/224.1.100.82:11111
CCTV5,http://119.32.12.127:2905/udp/225.1.101.187:7523
CCTV6,http://119.32.12.127:2905/udp/224.1.100.84:11111
CCTV6,http://119.32.12.127:2905/udp/225.1.101.94:7523
CCTV7,http://119.32.12.127:2905/udp/224.1.100.27:11111
CCTV7,http://119.32.12.127:2905/udp/225.1.101.27:7523
CCTV8,http://119.32.12.127:2905/udp/224.1.100.86:11111
CCTV8,http://119.32.12.127:2905/udp/225.1.101.98:7523
CCTV9,http://119.32.12.127:2905/udp/224.1.100.29:11111
CCTV9,http://119.32.12.127:2905/udp/225.1.101.28:7523
CCTV10,http://119.32.12.127:2905/udp/224.1.100.76:11111
CCTV10,http://119.32.12.127:2905/udp/225.1.101.30:7523
CCTV11,http://119.32.12.127:2905/udp/224.1.100.44:11111
CCTV11,http://119.32.12.127:2905/udp/225.1.101.100:7523
CCTV12,http://119.32.12.127:2905/udp/224.1.100.78:11111
CCTV12,http://119.32.12.127:2905/udp/225.1.101.33:7523
CCTV13,http://119.32.12.127:2905/udp/224.1.100.69:11111
CCTV13,http://119.32.12.127:2905/udp/225.1.101.125:7523
CCTV14,http://119.32.12.127:2905/udp/224.1.100.80:11111
CCTV14,http://119.32.12.127:2905/udp/225.1.101.34:7523
CCTV15,http://119.32.12.127:2905/udp/224.1.100.42:11111
CCTV15,http://119.32.12.127:2905/udp/225.1.101.160:7523
CCTV16,http://119.32.12.127:2905/udp/225.1.101.133:7523
CCTV17,http://119.32.12.127:2905/udp/224.1.100.135:11111
CCTV17,http://119.32.12.127:2905/udp/225.1.101.161:7523
CGTN,http://119.32.12.127:2905/udp/224.1.100.137:11111
CGTN,http://119.32.12.127:2905/udp/225.1.101.3:7523
CGTN俄语,http://119.32.12.127:2905/udp/224.1.100.140:11111
CGTN俄语,http://119.32.12.127:2905/udp/225.1.101.67:7523
CGTN法语,http://119.32.12.127:2905/udp/224.1.100.142:11111
CGTN法语,http://119.32.12.127:2905/udp/224.1.100.147:11111
CGTN法语,http://119.32.12.127:2905/udp/225.1.101.165:7523
CGTN西班牙语,http://119.32.12.127:2905/udp/225.1.101.93:7523
CGTN阿拉伯语,http://119.32.12.127:2905/udp/224.1.100.145:11111
CGTN阿拉伯语,http://119.32.12.127:2905/udp/225.1.101.148:7523

//11.17


CCTV1,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-1-HD-265-5M/G_CCTV-1-HD-265-5M.m3u8
CCTV2,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-2-HD-265-5M/G_CCTV-2-HD-265-5M.m3u8
CCTV3,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-3-HD-265-5M/G_CCTV-3-HD-265-5M.m3u8
CCTV1,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226431/2.m3u8
CCTV2,http://api.kkitv.itv888.cn:8080/hls/4nlkhc68gfu/index.m3u8
CCTV3,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226456/2.m3u8
CCTV4,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-4-HD-265-5M/G_CCTV-4-HD-265-5M.m3u8
CCTV5,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-5-HD-265-5M/G_CCTV-5-HD-265-5M.m3u8
CCTV5,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226469/1.m3u8
CCTV5+,http://111.221.137.234:44330/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-6-HD-265-5M/G_CCTV-6-HD-265-5M.m3u8
CCTV7,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-7-HD-265-5M/G_CCTV-7-HD-265-5M.m3u8
CCTV8,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-8-HD-265-5M/G_CCTV-8-HD-265-5M.m3u8
CCTV9,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-9-HD-265-5M/G_CCTV-9-HD-265-5M.m3u8
CCTV10,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-10-HD-265-5M/G_CCTV-10-HD-265-5M.m3u8
CCTV11,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-11-HD-265-5M/G_CCTV-11-HD-265-5M.m3u8
CCTV12,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-12-HD-265-5M/G_CCTV-12-HD-265-5M.m3u8
CCTV13,http://183.234.97.27:2380/js-live-screenshot.gitv.tv/gitv_live/G_CCTV-13-HD-265-5M/G_CCTV-13-HD-265-5M.m3u8
CCTV9,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8#http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV14,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226461/1.m3u8
CCTV15,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226460/1.m3u8



//7.18



CCTV1,http://111.221.137.234:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://111.221.137.234:44330/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://111.221.137.234:44330/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://111.221.137.234:44330/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://111.221.137.234:44330/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://111.221.137.234:44330/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://111.221.137.234:44330/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://111.221.137.234:44330/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://111.221.137.234:44330/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://111.221.137.234:44330/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://111.221.137.234:44330/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://111.221.137.234:44330/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://111.221.137.234:44330/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://111.221.137.234:44330/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://111.221.137.234:44330/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0

CGTN,http://111.221.137.234:44330/tsfile/live/1012_1.m3u8?key=txiptv&playlive=0&authid=0



//7.16


CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225723/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225770/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221226163/index.m3u8
CCTV2,https://zby.130519.xyz/PLTV/11/224/3221226122/index.m3u8
CCTV3,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8
CCTV3,https://zby.130519.xyz/PLTV/11/224/3221226165/index.m3u8
CCTV4,https://zby.130519.xyz/PLTV/11/224/3221226124/index.m3u8
CCTV5,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8
CCTV5,https://zby.130519.xyz/PLTV/11/224/3221226146/index.m3u8
CCTV6,https://zby.130519.xyz/PLTV/11/224/3221225741/index.m3u8
CCTV6,https://zby.130519.xyz/PLTV/11/224/3221226148/index.m3u8
CCTV7,https://zby.130519.xyz/PLTV/11/224/3221225701/index.m3u8
CCTV7,https://zby.130519.xyz/PLTV/11/224/3221226143/index.m3u8
CCTV7,https://zby.130519.xyz/PLTV/11/224/3221226137/index.m3u8
CCTV8,https://zby.130519.xyz/PLTV/11/224/3221225736/index.m3u8
CCTV8,https://zby.130519.xyz/PLTV/11/224/3221226167/index.m3u8
CCTV10,https://zby.130519.xyz/PLTV/11/224/3221225743/index.m3u8
CCTV10,https://zby.130519.xyz/PLTV/11/224/3221226169/index.m3u8
CCTV11,https://zby.130519.xyz/PLTV/11/224/3221226101/index.m3u8
CCTV11,https://zby.130519.xyz/PLTV/11/224/3221226145/index.m3u8
CCTV12,https://zby.130519.xyz/PLTV/11/224/3221226103/index.m3u8
CCTV12,https://zby.130519.xyz/PLTV/11/224/3221226126/index.m3u8
CCTV13,https://zby.130519.xyz/PLTV/11/224/3221226128/index.m3u8
CCTV14,https://zby.130519.xyz/PLTV/11/224/3221225738/index.m3u8
CCTV14,https://zby.130519.xyz/PLTV/11/224/3221226150/index.m3u8
CCTV15,https://zby.130519.xyz/PLTV/11/224/3221226147/index.m3u8
CCTV16,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8
CETV1,https://zby.130519.xyz/PLTV/11/224/3221225775/index.m3u8
CETV4,https://zby.130519.xyz/PLTV/11/224/3221226153/index.m3u8
CETV4,https://zby.130519.xyz/PLTV/11/224/3221226069/index.m3u8
CGTN,https://zby.130519.xyz/PLTV/11/224/3221226016/index.m3u8



//9.13


CCTV1,http://nas.201606.xyz:4022/udp/239.11.0.65:5140
CCTV1,http://nas.201606.xyz:4022/udp/239.11.0.130:5140
CCTV2,http://nas.201606.xyz:4022/udp/239.11.0.108:5140
CCTV3,http://nas.201606.xyz:4022/udp/239.11.0.101:5140
CCTV4,http://nas.201606.xyz:4022/udp/239.11.0.109:5140
CCTV5,http://nas.201606.xyz:4022/udp/239.11.0.100:5140
CCTV5+,http://nas.201606.xyz:4022/udp/239.11.0.241:5140
CCTV6,http://nas.201606.xyz:4022/udp/239.11.0.102:5140
CCTV7,http://nas.201606.xyz:4022/udp/239.11.0.110:5140
CCTV8,http://nas.201606.xyz:4022/udp/239.11.0.103:5140
CCTV9,http://nas.201606.xyz:4022/udp/239.11.0.111:5140
CCTV10,http://nas.201606.xyz:4022/udp/239.11.0.112:5140
CCTV11,http://nas.201606.xyz:4022/udp/239.11.0.22:5140
CCTV12,http://nas.201606.xyz:4022/udp/239.11.0.113:5140
CCTV13,http://nas.201606.xyz:4022/udp/239.11.0.24:5140
CCTV14,http://nas.201606.xyz:4022/udp/239.11.0.114:5140
CCTV15,http://nas.201606.xyz:4022/udp/239.11.0.26:5140
CCTV16 4K,http://nas.201606.xyz:4022/rtp/239.10.0.187:5140
CCTV17,http://nas.201606.xyz:4022/udp/239.11.0.107:5140
CGTN西语,http://nas.201606.xyz:4022/udp/239.11.0.79:5140


CGTN,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226443/1.m3u8

BRTV影视,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226433/2.m3u8
BRTV纪实科技,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226434/1.m3u8
BRTV北京卫视,http://120.233.178.42:2380/ywotttv.bj.chinamobile.com/PLTV/88888888/224/3221226436/1.m3u8

🌺卫视频道🌺兵哥整理,#genre#


//3.13

湖南卫视HD,http://107.150.60.122/live/hnwshd.m3u8
东方卫视HD,http://107.150.60.122/live/dfwshd.m3u8
浙江卫视HD,http://107.150.60.122/live/zjwshd.m3u8
江苏卫视HD,http://107.150.60.122/live/jswshd.m3u8
重庆卫视HD,http://107.150.60.122/live/cqwshd.m3u8
东南卫视HD,http://107.150.60.122/live/dnwshd.m3u8
广西卫视HD,http://107.150.60.122/live/gxwshd.m3u8
湖北卫视HD,http://107.150.60.122/live/hbwshd.m3u8
辽宁卫视HD,http://107.150.60.122/live/lnwshd.m3u8
山东卫视HD,http://107.150.60.122/live/sdwshd.m3u8
天津卫视HD,http://107.150.60.122/live/tjwshd.m3u8
陕西卫视HD,http://107.150.60.122/live/snwshd.m3u8
广东卫视HD,http://107.150.60.122/live/gdwshd.m3u8
深圳卫视HD,http://107.150.60.122/live/szwshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8
CCTV-央视文化精品,http://107.150.60.122/live/ysjp.m3u8
CCTV-卫生健康,http://107.150.60.122/live/wsjk.m3u8
北京卡酷少儿,http://107.150.60.122/live/btvkk.m3u8
中央新影-发现之旅,http://107.150.60.122/live/fxzl.m3u8
中央新影-老故事,http://107.150.60.122/live/lgs.m3u8



//2.18

湖南卫视,http://www.alphauncle.com:2715/rtp/239.0.0.68:5140
浙江卫视,http://www.alphauncle.com:2715/rtp/239.0.0.61:5140
江苏卫视,http://www.alphauncle.com:2715/rtp/239.0.0.60:5140
北京卫视,http://www.alphauncle.com:2715/rtp/239.0.0.52:5140
东方卫视,http://www.alphauncle.com:2715/rtp/239.0.0.58:5140
安徽卫视,http://www.alphauncle.com:2715/rtp/239.0.0.65:5140
广东卫视,http://www.alphauncle.com:2715/rtp/239.0.0.70:5140
深圳卫视,http://www.alphauncle.com:2715/rtp/239.0.0.71:5140
辽宁卫视,http://www.alphauncle.com:2715/rtp/239.0.0.56:5140
海南卫视,http://www.alphauncle.com:2715/rtp/239.0.0.100:5140
山东卫视,http://www.alphauncle.com:2715/rtp/239.0.0.66:5140
天津卫视,http://www.alphauncle.com:2715/rtp/239.0.0.54:5140
重庆卫视,http://www.alphauncle.com:2715/rtp/239.0.0.72:5140
东南卫视,http://www.alphauncle.com:2715/rtp/239.0.0.62:5140
甘肃卫视,http://www.alphauncle.com:2715/rtp/239.0.0.192:5140
广西卫视,http://www.alphauncle.com:2715/rtp/239.0.0.185:5140
贵州卫视,http://www.alphauncle.com:2715/rtp/239.0.0.64:5140
河北卫视,http://www.alphauncle.com:2715/rtp/239.0.0.55:5140
黑龙江卫视,http://www.alphauncle.com:2715/rtp/239.0.0.57:5140
河南卫视,http://www.alphauncle.com:2715/rtp/239.0.0.182:5140
湖北卫视,http://www.alphauncle.com:2715/rtp/239.0.0.67:5140
江西卫视,http://www.alphauncle.com:2715/rtp/239.0.0.63:5140
吉林卫视,http://www.alphauncle.com:2715/rtp/239.0.0.191:5140
内蒙古卫视,http://www.alphauncle.com:2715/rtp/239.0.0.79:5140
山西卫视,http://www.alphauncle.com:2715/rtp/239.0.0.78:5140
陕西卫视,http://www.alphauncle.com:2715/rtp/239.0.0.53:5140
四川卫视,http://www.alphauncle.com:2715/rtp/239.0.0.1:5140
云南卫视,http://www.alphauncle.com:2715/rtp/239.0.0.74:5140
厦门卫视,http://www.alphauncle.com:2715/rtp/239.0.0.194:5140
青海卫视,http://www.alphauncle.com:2715/rtp/239.0.0.108:5140
延边卫视,http://www.alphauncle.com:2715/rtp/239.0.0.76:5140
康巴卫视,http://www.alphauncle.com:2715/rtp/239.0.0.175:5140
三沙卫视,http://www.alphauncle.com:2715/rtp/239.0.0.195:5140

//2.19

吉林卫视,http://888609.xyz:45213/udp/239.0.1.245:5183
江西卫视,http://888609.xyz:45213/udp/239.0.1.244:5166
河北卫视,http://888609.xyz:45213/udp/239.0.1.243:8072
东南卫视,http://888609.xyz:45213/udp/239.0.1.241:5109
东南卫视,http://888609.xyz:45213/udp/239.0.1.26:8112
东方卫视,http://888609.xyz:45213/udp/239.0.1.10:8192
东方卫视,http://888609.xyz:45213/udp/239.0.1.82:8032
云南卫视,http://888609.xyz:45213/udp/239.0.1.23:8108
兵团卫视,http://888609.xyz:45213/udp/239.0.1.38:4120
内蒙古卫视,http://888609.xyz:45213/udp/239.0.1.31:8176
北京卫视,http://888609.xyz:45213/udp/239.0.1.12:8240
北京卫视,http://888609.xyz:45213/udp/239.0.1.83:8024
厦门卫视,http://888609.xyz:45213/udp/239.0.1.46:4120
吉林卫视,http://888609.xyz:45213/udp/239.0.1.28:8200
四川卫视,http://888609.xyz:45213/udp/239.0.1.21:8288
四川卫视,http://888609.xyz:45213/udp/239.0.1.87:5095
天津卫视,http://888609.xyz:45213/udp/239.0.1.13:8144
天津卫视,http://888609.xyz:45213/udp/239.0.1.89:1234
宁夏卫视,http://888609.xyz:45213/udp/239.0.1.34:8124
安徽卫视,http://888609.xyz:45213/udp/239.0.1.11:8272
安徽卫视,http://888609.xyz:45213/udp/239.0.1.81:8064
山东卫视,http://888609.xyz:45213/udp/239.0.1.14:8148
山东卫视,http://888609.xyz:45213/udp/239.0.1.90:8052
山西卫视,http://888609.xyz:45213/udp/239.0.1.30:8172
广西卫视,http://888609.xyz:45213/udp/239.0.1.27:8300
新疆卫视,http://888609.xyz:45213/udp/239.0.1.36:8160
旅游卫视,http://888609.xyz:45213/udp/239.0.1.33:8304
江苏卫视,http://888609.xyz:45213/udp/239.0.1.80:8028
江西卫视,http://888609.xyz:45213/udp/239.0.1.15:8280
河北卫视,http://888609.xyz:45213/udp/239.0.1.25:8292
河南卫视,http://888609.xyz:45213/udp/239.0.1.22:8128
浙江卫视,http://888609.xyz:45213/udp/239.0.1.8:8284
浙江卫视,http://888609.xyz:45213/udp/239.0.1.79:1234
深圳卫视,http://888609.xyz:45213/udp/239.0.1.16:9244
深圳卫视,http://888609.xyz:45213/udp/239.0.1.84:8020
湖北卫视,http://888609.xyz:45213/udp/239.0.1.17:8136
湖北卫视,http://888609.xyz:45213/udp/239.0.1.88:1234
湖南卫视,http://888609.xyz:45213/udp/239.0.1.7:8064
湖南卫视,http://888609.xyz:45213/udp/239.0.1.78:8012
甘肃卫视,http://888609.xyz:45213/udp/239.0.1.37:8188
西藏卫视,http://888609.xyz:45213/udp/239.0.1.35:8164
贵州卫视,http://888609.xyz:45213/udp/239.0.1.20:8120
辽宁卫视,http://888609.xyz:45213/udp/239.0.1.18:8116
辽宁卫视,http://888609.xyz:45213/udp/239.0.1.85:8056
