🌺怀旧金曲🌺兵哥整理,#genre#
见一面少一面,https://ipv4wp.axzzz.top:9503/f/O6edi7/%E8%A7%81%E4%B8%80%E9%9D%A2%E5%B0%91%E4%B8%80%E9%9D%A2%EF%BC%88%E6%9C%89%E4%BA%9B%E4%BA%BA%E4%B8%8D%E4%BC%9A%E5%86%8D%E9%81%87%E8%A7%81%29.mp4
敬往事这一杯,https://ipv4wp.axzzz.top:9503/f/lNAyc5/%E6%95%AC%E5%BE%80%E4%BA%8B%E8%BF%99%E4%B8%80%E6%9D%AF-%E6%B4%8B%E6%BE%9C%E4%B8%80%E3%80%81%E4%BE%AF%E6%B3%BD%E6%B6%A6.mp4
李白的酒杜甫的愁《合唱版》,https://ipv4wp.axzzz.top:9503/f/Xa95f4/%E6%9D%8E%E7%99%BD%E7%9A%84%E9%85%92%E6%9D%9C%E7%94%AB%E7%9A%84%E6%84%81%20%28Live%E5%90%88%E5%94%B1%E7%89%88%29%20-%20%E7%8E%8B%E4%B8%80%E4%BD%B3%20%20.mp4
谁的生活不是鸡零狗碎,https://ipv4wp.axzzz.top:9503/f/RAGYSn/%E5%90%95%E5%8F%A3%E5%8F%A3%E3%80%8A%E8%B0%81%E7%9A%84%E7%94%9F%E6%B4%BB%E4%B8%8D%E6%98%AF%E9%B8%A1%E9%9B%B6%E7%8B%97%E7%A2%8E%E3%80%8B.mp4
人间半途,https://ipv4wp.axzzz.top:9503/f/AbA0i8/%E4%BA%BA%E9%97%B4%E5%8D%8A%E9%80%94.mp4
若月亮还没来,https://ipv4wp.axzzz.top:9503/f/nvd1fk/%E8%8B%A5%E6%9C%88%E4%BA%AE%E8%BF%98%E6%B2%A1%E6%9D%A5-%E7%BC%A6%E7%BA%B1%E8%B4%9D%E5%A1%94%E3%80%81%E5%AE%87%E7%9A%93Ggg.mp4
你来了一阵子,https://ipv4wp.axzzz.top:9503/f/V2RBIW/%E7%8E%8B%E5%A8%9C%E3%80%8A%E4%BD%A0%E6%9D%A5%E4%BA%86%E4%B8%80%E9%98%B5%E5%AD%90%E3%80%8B.mp4
有风无风皆自由,https://ipv4wp.axzzz.top:9503/f/9DMQSk/%E6%9C%89%E9%A3%8E%E6%97%A0%E9%A3%8E%E7%9A%86%E8%87%AA%E7%94%B1.mp4
风雨中的诺言,https://ipv4wp.axzzz.top:9503/f/dNMXil/%E9%83%91%E5%B0%8F%E9%97%B2-%E9%A3%8E%E9%9B%A8%E4%B8%AD%E7%9A%84%E8%AF%BA%E8%A8%80.mp4
春风秋雨,https://ipv4wp.axzzz.top:9503/f/6XoyUM/%E5%91%A8%E5%AE%B6%E9%BE%99-%E5%8F%B6%E5%80%A9%E6%96%87%E3%80%8A%E6%98%A5%E9%A3%8E%E7%A7%8B%E9%9B%A8%E3%80%8B.mp4



负我不负她,https://ipv4wp.axzzz.top:9503/f/Yw03h4/%E8%B4%9F%E6%88%91%E4%B8%8D%E8%B4%9F%E5%A5%B9.mp4
大风吹倒梧桐树,https://ipv4wp.axzzz.top:9503/f/G0d5CN/%E5%A4%A7%E9%A3%8E%E5%90%B9%E5%80%92%E6%A2%A7%E6%A1%90%E6%A0%91.mp4
战马,https://ipv4wp.axzzz.top:9503/f/N18ESg/%E5%B4%94%E4%BC%9F%E7%AB%8B-%E6%88%98%E9%A9%AC%28DJ%E7%89%88%29.mp4
爱财爱己,https://ipv4wp.axzzz.top:9503/f/xWpoiE/%E9%BB%84%E9%9D%99%E7%BE%8E%E3%80%8A%E7%88%B1%E8%B4%A2%E7%88%B1%E5%B7%B1%E3%80%8B.mp4
动力火车-当,https://ipv4wp.axzzz.top:9503/f/a0ppf4/%E5%8A%A8%E5%8A%9B%E7%81%AB%E8%BD%A6-%E5%BD%93.mp4
庄周一生梦一蝶,https://ipv4wp.axzzz.top:9503/f/3Y2ktk/%E9%BB%84%E9%9D%99%E7%BE%8E%E3%80%8A%E5%BA%84%E5%91%A8%E4%B8%80%E7%94%9F%E6%A2%A6%E4%B8%80%E8%9D%B6%E3%80%8B.mp4
雨蝶,https://ipv4wp.axzzz.top:9503/f/51wlFV/%E6%9D%8E%E7%BF%8A%E5%90%9B-%E3%80%8A%E9%9B%A8%E8%9D%B6%E3%80%8B.mp4
一程山路,https://ipv4wp.axzzz.top:9503/f/O62Eu7/%E6%AF%9B%E4%B8%8D%E6%98%93%E3%80%8A%E4%B8%80%E7%A8%8B%E5%B1%B1%E8%B7%AF%E3%80%8B.mp4
我的纸飞机,https://ipv4wp.axzzz.top:9503/f/lNpvF5/%E6%88%91%E7%9A%84%E7%BA%B8%E9%A3%9E%E6%9C%BA.mp4
西厢寻他,https://ipv4wp.axzzz.top:9503/f/XaobT4/%E8%A5%BF%E5%8E%A2%E5%AF%BB%E4%BB%96.mp4
春风何时来,https://ipv4wp.axzzz.top:9503/f/RA7lHn/%E5%BC%A0%E5%BF%97%E5%AE%87-%E6%98%A5%E9%A3%8E%E4%BD%95%E6%97%B6%E6%9D%A5.mp4
姑娘别哭泣,https://ipv4wp.axzzz.top:9503/f/Abyai8/%E5%A4%8F%E5%A8%83%E5%AD%90-%E5%A7%91%E5%A8%98%E5%88%AB%E5%93%AD%E6%B3%A3.mp4

西楼儿女,https://ipv4wp.axzzz.top:9503/f/jqpYia/%E8%A5%BF%E6%A5%BC%E5%84%BF%E5%A5%B3.mp4
广东余丰-三年的赌注,https://ipv4wp.axzzz.top:9503/f/ZDE2i0/%E5%B9%BF%E4%B8%9C%E4%BD%99%E4%B8%B0-%E4%B8%89%E5%B9%B4%E7%9A%84%E8%B5%8C%E6%B3%A8.mp4
解情还须系情人,https://ipv4wp.axzzz.top:9503/f/owQ1SG/%E8%A7%A3%E6%83%85%E8%BF%98%E9%A1%BB%E7%B3%BB%E6%83%85%E4%BA%BA.mp4
吃糖都不甜的年纪,https://ipv4wp.axzzz.top:9503/f/82D2Sq/%E5%90%83%E7%B3%96%E9%83%BD%E4%B8%8D%E7%94%9C%E7%9A%84%E5%B9%B4%E7%BA%AA.mp4
郎想妹来妹想郎,https://ipv4wp.axzzz.top:9503/f/2N8ATZ/%E9%83%8E%E6%83%B3%E5%A6%B9%E6%9D%A5%E5%A6%B9%E6%83%B3%E9%83%8E.mp4
无憾,https://ipv4wp.axzzz.top:9503/f/vPNBUM/%E5%B9%BF%E4%B8%9C%E5%90%B4%E5%8B%87-%E6%97%A0%E6%86%BE-%E7%B2%A4%E8%AF%AD.mp4
唐伯虎-落,https://ipv4wp.axzzz.top:9503/f/wxp5Cg/%E5%94%90%E4%BC%AF%E8%99%8EAnnie-%E8%90%BD.mp4
羡慕风羡慕雨,https://ipv4wp.axzzz.top:9503/f/7PgDs7/%E7%BE%A1%E6%85%95%E9%A3%8E%E7%BE%A1%E6%85%95%E9%9B%A8.mp4
杨丞琳-如愿,https://ipv4wp.axzzz.top:9503/f/gepZuE/%E6%9D%A8%E4%B8%9E%E7%90%B3%E3%80%81%E8%83%A1%E5%AE%87%E6%A1%90%E3%80%81%E6%9D%8E%E6%B6%A6%E7%A5%BA%E3%80%81%E9%97%AA%E5%85%89%E7%9A%84%E4%B9%90%E9%98%9F-%E5%A6%82%E6%84%BF.mp4
一句先苦后甜,https://ipv4wp.axzzz.top:9503/f/DPnNfo/%E4%B8%80%E5%8F%A5%E5%85%88%E8%8B%A6%E5%90%8E%E7%94%9C.mp4
一笑江湖,https://ipv4wp.axzzz.top:9503/f/WbZMHP/%E4%B8%80%E7%AC%91%E6%B1%9F%E6%B9%96%28DJ%E5%BC%B9%E9%BC%93%E7%89%88%29.mp4
年少的你啊,https://ipv4wp.axzzz.top:9503/f/q5pJHV/%E6%B5%A9%E7%84%B6H.R-%E5%B9%B4%E5%B0%91%E7%9A%84%E4%BD%A0%E5%95%8A-art--%E6%B5%A9%E7%84%B6H.R--art-122b0720a051346df87a358438bcdfb1.mp4
其实都没有,https://ipv4wp.axzzz.top:9503/f/B1RPca/%E5%85%B6%E5%AE%9E%E9%83%BD%E6%B2%A1%E6%9C%89%E3%80%8B%E4%BA%8E%E5%86%AC%E7%84%B6.mp4
养我的人和我养的人,https://vd3.bdstatic.com/mda-pe6bunyijrv6dceh/sc/cae_h264/1683510641435648214/mda-pe6bunyijrv6dceh.mp4?pd=19&vt=1
苹果香黑大婶版,https://vd3.bdstatic.com/mda-qgc17up2j02qvmt7/sc/cae_h264/1720845243423537939/mda-qgc17up2j02qvmt7.mp4?pd=19&vt=1
苹果香黑大妈,https://vd3.bdstatic.com/mda-qgg1yydtc576k6jb/sc/cae_h264/1721199809528857626/mda-qgg1yydtc576k6jb.mp4?pd=19&vt=1
苹果香DJ,https://vdse.bdstatic.com//c326a1ae0578533343c4d53d742fc5b9.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2024-09-01T07%3A43%3A49Z%2F-1%2Fhost%2Facb341236003b3f5da839139e60efa66555edced5d653b4799a69b174f4d7955&vid=17754757044003886380
梦然-少年,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAglsK2-AUovNyIkQQ.mp4
张韶涵-有形的翅膀,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9bOY_AUomICzGg.mp4
南宫嘉骏姜玉阳-回忆总想哭,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmtjx9wUowNDlwgU.mp4
最美的情缘—魏新雨,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgkd3x9wUojKzHsgc.mp4
庄心妍_一万个舍不得,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjqm04gUo4PH90wM.mp4
真心.庄心妍,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgkpjx5gUoiPqX3gc.mp4
张学友_一千个伤心的理由,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg74qw4gUo0ZG70AM.mp4
在春天里想你,http://15799848.s21v.faiusr.com/58/ABUIABA6GAAg-JfV4gUol9ea6QM.mp4
云朵_我的楼兰,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg88K74gUohZWCnwQ.mp4
阿衣莫,https://vd2.bdstatic.com/mda-nis932cn7f8ntim1/sc/cae_h264/1664260774395416615/mda-nis932cn7f8ntim1.mp4
孤勇者,https://vd2.bdstatic.com/mda-mmkfweauph7ju2rr/sc/cae_h264_delogo/1643229088196056141/mda-mmkfweauph7ju2rr.mp4
阿梨粤,https://vd3.bdstatic.com/mda-nee8sphdiyar5qfc/sc/cae_h264/1652595644034518917/mda-nee8sphdiyar5qfc.mp4
只要你还需要我,https://vd2.bdstatic.com/mda-ndi3uvmd0qrjvgps/sc/cae_h264_delogo/1650337256524390613/mda-ndi3uvmd0qrjvgps.mp4
酒醉的蝴蝶,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgjvvL9QUo3cjNuQY.mp4
大鱼,https://vd2.bdstatic.com/mda-jj0mrjgwdibh8dy1/sc/mda-jj0mrjgwdibh8dy1.mp4
情火,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgwfvL9QUoyKDRhQI.mp4
别知己,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg9sG2-AUo4MTLmAQ.mp4
Beyond_海阔天空,https://vd2.bdstatic.com/mda-jccg84gp61a7n0ms/sc/mda-jccg84gp61a7n0ms.mp4
缘分一道桥,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw4vG4gUozNe3-QM.mp4
阿国哥_暂别离,https://vd2.bdstatic.com/mda-na0gq1qdvtc7dn21/sc/cae_h264/1641053414585020942/mda-na0gq1qdvtc7dn21.mp4
不一样的美,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgmfvL9QUolKvHtQE.mp4
大田后生仔_丫蛋蛋,https://vd2.bdstatic.com/mda-jk0s5kte1btis2ez/sc/mda-jk0s5kte1btis2ez.mp4
成都,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgx5ei5wUoqOfenwE.mp4
狂浪,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgsK2M5gUosN7C7QQ.mp4
野花香,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg3oaO9wUo4J6WwQU.mp4
梦里水乡,https://vd4.bdstatic.com/mda-mcc5ichr42qg4r1p/720p/h264_cae/1620799161082799399/mda-mcc5ichr42qg4r1p.mp4
月老掉线,https://vd3.bdstatic.com/mda-ndd3ta6xy3x4ybtf/720p/h264_delogo/1649904116948342384/mda-ndd3ta6xy3x4ybtf.mp4
晚风心里吹,https://vd2.bdstatic.com/mda-ndpg29kxui1g1xrj/sc/cae_h264_delogo/1650799724379445533/mda-ndpg29kxui1g1xrj.mp4
九十九步退一步,https://vd2.bdstatic.com/mda-nbk88c8b5d4vsf2m/sc/cae_h264_delogo/1645443281073338534/mda-nbk88c8b5d4vsf2m.mp4
温奕心一路生花,https://vd2.bdstatic.com/mda-nadm5jqnuteatw2u/sc/cae_h264_delogo/1642172623674683427/mda-nadm5jqnuteatw2u.mp4
大风吹,http://vdown2.kuwo.cn/resource//t5/0/eTNBMFltlx07LI3bUVOg01041201VIsY0E010.mp4
她会魔法吧– DJ小鱼儿,https://vd3.bdstatic.com/mda-nc75m4vyzbku66wd/hd/cae_h264_delogo/1646712170302849704/mda-nc75m4vyzbku66wd.mp4
千千万万-深海鱼子酱,https://vd3.bdstatic.com/mda-meiaa2e63ve7ram5/hd/cae_h264/1621408953745287302/mda-meiaa2e63ve7ram5.mp4
等你归来-程响,https://vdse.bdstatic.com//a3d1f9260900f7caf522089501aff9eb.mp4
梵影-总以为来日方长,https://vdse.bdstatic.com//f02b43b376225b167b9db435689a2ffc.mp4
梅朵-总以为来日方长,https://vd3.bdstatic.com/mda-nd5iej28ngx7pwe5/hd/cae_h264_delogo/1649251233112341164/mda-nd5iej28ngx7pwe5.mp4
关淑怡-难得有情人,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cockvfrc77uecmqmqq40&ratio=720p&line=0
刘小慧-初恋情人,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cc9cli3c77u4vdavpd70&ratio=720p&line=0
李克勤-红日,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000co87rbjc77ueeb2bpbbg&ratio=720p&line=0
李克勤-护花使者,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cit40pbc77uae67r96cg&ratio=720p&line=0
徐小凤-风的季节,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000c9v0f3bc77u2pia8a8vg&ratio=720p&line=0
罗文-几许风雨,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000co6fijvog65rloj3i5n0&ratio=720p&line=0
周慧敏-最爱,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cihdb9rc77uaaibdjvl0&ratio=720p&line=0
陈百强-偏偏喜欢你,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c4sd0hjc77uadn62vdpg&ratio=720p&line=0
陈百强-一生何求,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000c62hppbc77u6phu370hg&ratio=720p&line=0
陈慧娴-千千阙歌,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cobq6e3c77udq71olmb0&ratio=720p&line=0
陈慧娴-夜半小夜曲,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fc30000bu3s66l91uupo5jllq40&ratio=720p&line=0
陈慧娴-人生何处不相逢,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000chrn8sjc77u9t0ofndkg&ratio=720p&line=0
陈慧娴-情意结,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c7mte0bc77u646crfqj0&ratio=720p&line=0
陈慧娴-傻女,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ccg7jsrc77u3n0hmrrn0&ratio=720p&line=0
林忆莲-假如让你吻下去,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cm13h63c77u825g1pq90&ratio=720p&line=0
张国荣-沉默是金,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cgjuqvbc77uc1cnf47ag&ratio=720p&line=0
钟镇涛-让一切随风,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000clvs8cjc77u7555h0er0&ratio=720p&line=0
刘德华-暗里着迷,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c8rv9cjc77u58p5sd07g&ratio=720p&line=0
刘德华-一起走过的日子,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cl9255rc77uagabjkqkg&ratio=720p&line=0
谭咏麟-讲不出再见,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000co5ch8rc77u2dtata9sg&ratio=720p&line=0
谭咏麟-一生中最爱,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cni9357og65hefir2gf0&ratio=720p&line=0
王杰-谁明浪子心,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c5knm9rc77uboe0h3rgg&ratio=720p&line=0
王杰-不浪漫罪名,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c9bvck3c77ucqkhpnfd0&ratio=720p&line=0
吕方-你的浅笑,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cmp585fog65v3t4i0v80&ratio=720p&line=0
张学友-饿狼传说,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cfapr43c77u621266pjg&ratio=720p&line=0
张学友-只想一生跟你走,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ci8ljnbc77u7qp8pt7cg&ratio=720p&line=0
邓丽君-漫步人生路,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cgg6rljc77ub1k9u4dug&ratio=720p&line=0
邓丽欣-电灯胆,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cmhsnt3c77u2ra2n3e2g&ratio=720p&line=0
邓丽欣/傅颖-亲朋勿友,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ccs4uirc77u12f0g60vg&ratio=720p&line=0
Beyond-光辉岁月,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ccu4ldjc77u4nmf3f54g&ratio=720p&line=0
Beyond-真的爱你,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ceksa4bc77u77da91tfg&ratio=720p&line=0
Beyond-大地,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cojstabc77uerhn878qg&ratio=720p&line=0
Beyond-冷雨夜,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cdqcbe3c77ucgubud6i0&ratio=720p&line=0
Beyond-海阔天空,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000chfntjrc77uf4o64t5qg&ratio=720p&line=0
Beyond-岁月无声,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000cfhoeq3c77u4flt6fni0&ratio=720p&line=0
叶蒨文-情人知己,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cmcmv33c77uer3e2mdag&ratio=720p&line=0
叶蒨文-祝福,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000c8rfd1bc77u0gvo4f8b0&ratio=720p&line=0
叶丽仪-上海滩,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c56uiubc77uc6dubb3q0&ratio=720p&line=0
甄妮-友谊太阳,https://m.douyin.com/aweme/v1/playwm/?video_id=v0d00fg10000c7dm1ojc77udvrshcceg&ratio=720p&line=0
甄妮-我曾用心爱着你,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c61mgpjc77u30e9dfqa0&ratio=720p&line=0
甄妮/罗文-铁血丹心,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cm6k253c77udg844hj4g&ratio=720p&line=0
甄妮/罗文-世间始终你好,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ch0bad3c77uehp8ng9hg&ratio=720p&line=0
王菲-容易受伤的女人,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000coul6kjc77u020n5vnvg&ratio=720p&line=0
郑中基-无赖,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cmaj7d7og65vg4bdm0h0&ratio=720p&line=0
孙耀威-爱的故上集,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c60cbq3c77u4kbdnbc3g&ratio=720p&line=0
林子祥-男儿当自强,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300f4a0000bt4chkq5lp9jpvrs4u0g&ratio=720p&line=0
Twins-下一站天后,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c9hsmhrc77u8bcep14rg&ratio=720p&line=0
周杰伦-七里香,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c586a8bc77u8ukr6db70&ratio=720p&line=0
周杰伦-50首合集,https://m.douyin.com/aweme/v1/playwm/?video_id=v0200fg10000cg2uakbc77ud01c51qf0&ratio=720p&line=0
光良-童话,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cmhcjp3c77u6lekc7am0&ratio=720p&line=0
潘玮柏/弦子-不得不爱,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ckj6vr3c77uc094ge76g&ratio=720p&line=0
蔡依林-日不落,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0d00fg10000ch00eijc77u0akslavig&ratio=720p&line=0
蔡依林/陶喆-今天你要嫁给我,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cj0h9mrc77ubbgnamamg&ratio=720p&line=0
纸短情长,https://vdse.bdstatic.com//e214194bf6de7f598b9873619b691fa6.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-01-31T13%3A26%3A53Z%2F-1%2Fhost
陈柯宇生僻字,http://vd2.bdstatic.com/mda-jb28qp6tauzkzpy9/hd/mda-jb28qp6tauzkzpy9.mp4
往后余生,https://vd3.bdstatic.com/mda-jatub6sb1pzwxfnb/hd/mda-jatub6sb1pzwxfnb.mp4?pd=19&vt=1
盗将行,https://vdse.bdstatic.com//8355cbc6c2fe19c5ad280869218430f5.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2020-01-31T13%3A03%3A13Z%2F-1%2Fhost
下山,https://vdse.bdstatic.com/e2d35750d461a6d524080c7a3c4cb7a4.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2017-05-11T09%3A02%3A31Z%2F-1%2F
原版大鱼海棠,http://vd3.bdstatic.com/mda-jm9x2pw13gpb4d82/sc/mda-jm9x2pw13gpb4d82.mp4
你的酒馆对我打了烊陈雪凝,https://vd3.bdstatic.com/mda-ka59e4w0qxxsxnt0/hd/mda-ka59e4w0qxxsxnt0.mp4?pd=19&vt=1
